priority,id,title,body,true_label,model_pred,model_proba,heuristic_bucket,relation_type,contradiction_subtype,notes
HIGH (unexplained FP),tr00009,Kapolres Jakpus Bogor Juga Dicopot Digantikan AKBP Harun Kombes Hengki,Polri merotasi sejumlah perwira tinggi hingga menengah karena dianggap tidak melaksanakan perintah penegakan protokol kesehatan Tidak hanya Kapolda Metro Jaya Irjen Nana Sudjana yang dicopot dari jabatannya Kapolres Metro Jakarta Pusat Kombes Heru Novianto juga dicopot Dalam Surat Telegram bernomor ST 3222 XI KEP 2020 tanggal 16 November 2020 Kombes Heru Novianto digantikan oleh Kombes Hengki Haryadi Hengki sebelumnya menjabat Analis Kebijakan Madya Bidang Pidana Ekonomi Khusus Bareskrim Polri Selain itu Kapolres Bogor Roland Rolandy dicopot Posisinya diisi AKBP Harun yang sebelumnya menjabat Kapolres Lamongan Polda Jatim Adapun AKBP Roland Rolandi dimutasi sebagai Wadir Krimsus Polda Jawa Barat Posisi AKBP Harun di Polres Lamongan diisi AKBP Miko Indrayana Miko sebelumnya menjabat Kapolres Kediri Sedangkan jabatan Kapolres Kediri dipegang AKBP Eko Prasetyo Sebelumnya Eko menjabat Koorspripim Polda Jatim Kapolda Metro Jaya dan Kapolda Jawa Barat dicopot Selengkapnya di halaman berikutnya Simak juga video Kapolda Metro Jaya dan Kapolda Jabar Dicopot Gambas Video 20detik,0,1,0.87,entity_substitution_missed,,,
HIGH (unexplained FP),tr00117,Menristek Ingin GeNose ITB Rapid Test Unpad Jadi Alat Utama Screening Corona,Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Menko PMK Muhadjir Effendy menerima alat GeNose C19 buatan Univeristas Gadjah Mada UGM dan rapid test antigen produksi Universitas Padjajaran Unpad Dalam acara itu Menteri Riset dan Teknologi Menristek Badan Riset dan Inovasi Nasional BRIN Bambang Brodjonegoro berharap GeNose dan rapid test antigen Unpad jadi alat utama screening virus Corona Kenapa juga kami memberikan ini ke Pak Menko PMK Karena Pak Menko bagian komite harapannya Pak Menko supaya bisa menjadikan baik GeNose dan rapid antigen cepat ini sebagai alat utama untuk melakukan screening rapid test di Indonesia dan pandangan kami rapid test atau screening sangat perlu saat ini di mana kita sangat khawatir peredaran virus cukup cepat ujar Bambang dalam acara konferensi pers penyerahan alat GeNose C19 secara daring Kamis 7 1 2021 Menurutnya apabila Kementerian Kesehatan Kemenkes dan BNPB selaku Satgas COVID 19 memasukkan GeNose dan rapid test antigen Unpad sebagai alat screening virus Corona yang resmi maka semua pihak secara otomatis akan mengikutinya Karenanya Bambang meminta dua alat tersebut menjadi bagian utama dalam screening virus COVID 19 Yang paling penting dari pemerintah dari Kemenkes dari BNPB selaku satgas adalah memasukkan alat ini GeNose dan Cepat rapid tes antigen Unpad sebagai alat untuk melakukan screening atau rapid test yang resmi Karena itu akan jadi rujukan semua pihak baik pemerintah maupun swasta pusat maupun daerah Intinya masuk daftar rapid test atau screening test atau bagian dari tracing yang resmi dan diakui ucapnya Dia mengatakan berdasar hasil uji alat GeNose C19 buatan Universitas Gadjah Mada UGM memiliki sensitivitas tinggi Bambang menyebut sensitivitasnya sudah lebih dari 90 persen Akurasinya menurut uji validasi yang dilakukan terakhir yang sudah disampaikan kepada Kemenkes sebelum dapat izin edar tingkat sensitivitas itu sekitar 92 persen tingkat spesifitas itu 90 persen jadi intinya kita ingin punya alat screening atau rapid test yang mudah katanya Bahwa GeNose ini adalah alat screening cepat dia tidak menjadi alat untuk diagnosa dia benar benar akan menjadi alat screening atau istilahnya Pak Menko tadi dia kategorinya rapid test cuma bedanya kalau ada rapid test antibodi ambil darah rapid test antigen mengambil swab kalau yang ini GeNose ini memakai embusan napas kita tapi dasarnya adalah rapid test sambungnya simak penjelasan lengkapnya di halaman berikutya,0,1,0.484,entity_substitution_missed,,,
HIGH (unexplained FP),tr00213,Alasan Pilkada Dipakai Wabup OKI Mangkir Panggilan KPK,Berkas dugaan korupsi tanah kuburan Wakil Bupati Ogan Komering Ulu OKU Johan Anuar dinyatakan lengkap Namun Johan mangkir panggilan KPK Alasannya adalah pilkada KPK memanggil Johan pada Jumat 4 12 2020 Berkasnya dinyatakan lengkap pada 2 Desember KPK memastikan proses hukum Johan tetap akan berjalan Proses hukum disebut tidak akan tertunda meskipun Johan maju di Pilkada Serentak 2020 Namun Johan tidak hadir dalam panggilan KPK Kuasa hukum Johan Anuar Titis Rachmawati menyebut kliennya tak hadir karena kondisi kesehatan Dalam surat panggilan KPK berkas dan Johan Anuar seharusnya dilimpahkan ke kejaksaan terkait kasus korupsi tanah kuburan kemarin Namun Johan dan kuasa hukum meminta penundaan satu minggu ke depan Johan Anuar disebut hari ini dijadwalkan tes COVID 19 Pertimbangan itulah yang membuat Johan Anuar tidak dapat hadir menghadap ke penyidik KPK Tak hanya itu alasan lainnya adalah Johan sedang menghadapi pilkada menjelang pemilihan 9 Desember yang tinggal menghitung hari Klien kami kan status sekarang sebagai peserta atau calon di Pilkada OKU Tentu beliau butuh konsentrasi menghadapi ini apalagi pencoblosan tinggal hitung hari kata Titis,0,1,0.455,entity_substitution_missed,,,
HIGH (unexplained FP),tr00415,Rapid Antigen di Bandara Ngurah Rai Hari Ini Antrean Lebih Panjang Namun Tertib,Antrean calon penumpang yang rapid antigen di Bandara Juanda Surabaya lebih panjang ketimbang Selasa 22 12 Namun antrean lebih tertib Informasi itu disampaikan seorang calon penumpang bernama Luky Mundiwardani Menurutnya pelayanan yang diterapkan Bandara Juanda lebih baik ketimbang kemarin Ya lebih banyak hari ini cuma agak tertib Petugasnya banyak dan teriak teriak agar yang antre jaga jarak kata Luky kepada detikcom Rabu 23 12 2020 Itu berjalan dengan lancar dan tertib Yang berangkat duluan sampai jam 12 siang didahulukan Yang berangkat besok lain barisan jadi ya tertib sekali imbuhnya Meski begitu ia tetap berharap pihak bandara terus berbenah Terlebih ia masih merasakan antrean yang kurang tertib saat menunggu hasil rapid antigen Cuma yang agak semrawut nunggu hasilnya sudah dipanggil menurut nomor yang amburadul dan gak urut Tadi masa saya berempat yang 2 sudah dipanggil jam 8 30 WIB kok yang 2 sampai jam 10 30 WIB Mana udara panas sekali saya antre rapid antigen sejak jam 5 30 pagi paparnya,0,1,0.551,entity_substitution_missed+no_signal_at_all,,,
HIGH (unexplained FP),tr00426,RSD Wisma Atlet Bantah Gunakan Obat Corona dari Ahmad Dhani,Penyanyi Erdian Aji Prihartanto alias Anji berbincang bincang dengan seseorang yang disebut sebut bernama Profesor Hadi Pranoto di akun Youtubenya Unggahan video yang saat ini sudah dihapus Youtube itu mengundang banyak kontroversi Salah satunya karena Hadi mengaku telah membuat obat untuk Covid 19 yang ia sebut dengan Antibodi Covid 19 “Antibodi Covid 19 adalah obat bisa menyembuhkan dan mencegah ” ujar Hadi dalam video tersebut “Ini berupa cairan yang dalam cairan itu terdapat kandungan untuk membunuh Covid 19 ” imbuhnya Hadi dalam keterangan selanjutnya juga mengatakan bahwa cairan herbal tersebut telah didistribusikan ke beberapa wilayah di Indonesia dari Sumatera hingga ke Jawa Adapun untuk wilayah Jakarta ia menyampaikan cairan tersebut telah didistribusikan ke RS Darurat Wisma Atlet “Kalau di Jakarta iya kita sebagian di Wisma Atlet Kita kemarin mensuplay untuk pengobatan dan penyembuhan pasien yang ada di Wisma Atlet ” terangnya Terkait dengan klaim tersebut Kompas com menghubungi Kepala Kesehatan Komando Daerah Militer Jayakarta Kakesdam Jaya Kolonel Ckm Donny Guntur selaku Koordinator Operasional di RS Darurat Covid 19 Wisma Atlet Saat dikonfirmasi Donny membantah bahwa pihak di Wisma Atlet mendapatkan suplay obat dar Hadi Pranoto,0,1,0.69,entity_substitution_missed+no_signal_at_all,,,
HIGH (unexplained FP),tr00790,Sebaran 3 948 Kasus Baru Corona di RI 9 Desember Terbanyak di DKI,Kasus COVID 19 bertambah 6 058 pada hari ini Provinsi DKI Jakarta menjadi provinsi terbanyak yang menyumbang kasus baru Berdasarkan data dari Satgas Penanganan COVID 19 Rabu 9 12 2020 total jumlah kasus di RI hari ini tercatat 592 900 orang Data ini dihimpun secara berkala setiap hari per pukul 12 00 WIB Penambahan kasus Corona terbanyak pertama berada di Jakarta dengan 1 217 kasus Diikuti di Jawa Barat dengan 908 kasus baru dan Jawa Tengah dengan 735 kasus baru Selain itu dilaporkan ada penambahan pasien sembuh Corona sebanyak 3 948 Dengan demikian hingga hari ini sebanyak 487 445 pasien Corona telah sembuh Sementara itu penambahan pasien Corona meninggal dunia hari ini memecahkan rekor sebelumnya dengan 171 orang Sehingga total pasien Corona di RI yang meninggal dunia berjumlah 18 171 Berikut ini sebaran 6 058 kasus baru di Indonesia per 9 Desember 1 Aceh 6 kumulatif 8 450 2 Sumut 80 kumulatif 16 341 3 Sumbar 125 kumulatif 21 300 4 Riau 235 kumulatif 21 708 5 Jambi 70 kumulatif 2 502 6 Sumsel 40 kumulatif 10 027 7 Bengkulu 8 kumulatif 2 182 8 Lampung 80 kumulatif 4 426 9 Babel 22 kumulatif 1 305 10 Kepri 12 kumulatif 5 961 11 Jakarta 1 217 kumulatif 147 838 12 Jabar 908 kumulatif 62 083 13 Jateng 735 kumulatif 62 612 14 DIY 198 kumulatif 7 421 15 Jatim 718 kumulatif 66 817 16 Banten 166 kumulatif 14 271 17 Bali 139 kumulatif 15 070 18 NTB 57 kumulatif 4 896 19 NTT 27 kumulatif 1 475 20 Kalbar 57 kumulatif 2 663 21 Kalteng 229 kumulatif 7 253 22 Kalsel 83 kumulatif 13 778 23 Kaltim 279 kumulatif 21 643 24 Kaltara 31 kumulatif 1 948 25 Sulut 57 kumulatif 7 531 26 Sulteng 61 kumulatif 2 299 27 Sulsel 157 kumulatif 22 183 28 Sultra 75 kumulatif 7 056 29 Gorontalo 24 kumulatif 3 290 30 Sulbar 8 kumulatif 1 534 31 Maluku 39 kumulatif 4 758 32 Maluku Utara 0 kumulatif 2 487 33 Papua 59 kumulatif 12 302 34 Papua Barat 56 kumulatif 5 490,0,1,0.799,+no_signal_at_all,,,
HIGH (unexplained FP),tr00838,Tambahan Kasus Tertinggi Sepekan Berada di DKI Jabar Jateng,Satuan Tugas Penanganan Covid 19 memaparkan data yang menunjukkan Jawa Tengah Jawa Barat dan DKI Jakarta menjadi tiga provinsi dengan penambahan kasus positif virus corona Covid 19 mingguan terbanyak dalam sepekan ini atau periode 1 8 November 2020 Bila diurutkan posisi pertama ditempati Jawa Tengah kedua Jawa Barat dan ketiga DKI Jakarta Ketiga provinsi ini juga menunjukkan tren lonjakan kasus tertinggi usai pekan sebelumnya menjadi provinsi dengan penambahan kasus yang sedikit DKI Jabar Jateng mengalami peningkatan peringkat menjadi tiga besar penambahan kasus mingguan tertinggi pada pekan ini kata Juru Bicara Satuan Tugas Penanganan Covid 19 Wiku Adisasmito dalam konferensi pers yang disiarkan melalui kanal BNPB Indonesia Kamis 12 11 Padahal Wiku menyebut DKI Jakarta sempat berada di peringkat terakhir atau nomor 34 terkait penambahan kasus positif Covid 19 dalam dua pekan sebelumnya Sementara Jawa Barat berhasil menurunkan peringkat ke 33 pada pekan lalu Jawa Tengah yang didapuk peringkat pertama penambahan kasus pada pekan sebelumnya berada di urutan ke 30 dari 34 provinsi di Indonesia Lebih lanjut dalam cakupan Jawa Bali NTT NTB Wiku masih mengapresiasi dua provinsi dengan kondisi baik dan stabil terkait penambahan kasus positif pada pekan ini mereka berdua yakni Banten dan Bali Banten yang sempat menduduki peringkat dua penambahan kasus positif tertinggi pada pekan ini berhasil berada di peringkat 31 Sedangkan Bali stabil di peringkat 20 terbawah untuk penambahan kasus positif jelas Wiku Sedangkan untuk kasus sembuh mingguan DKI Jakarta kembali masuk kategori tingkat kesembuhan yang menurun bersama dengan Jawa Barat dan Banten Wiku mengatakan DKI Jakarta yang awalnya sempat menduduki peringkat kedua kasus kesembuhan tertinggi pada pekan lalu kini menjadi provinsi dengan penambahan kesembuhan yang paling sedikit yaitu peringkat ke 34 Sementara perkembangan kasus sembuh di Jawa Barat yang awalnya sempat berada di peringkat keempat pada pekan lalu namun turun menjadi peringkat ke 27 pada pekan ini Banten pada pekan ini berada di posisi ke 31 kasus kesembuhan tersedikit padahal pekan lalu sempat berada di peringkat 5 besar peningkatan kasus kesembuhan tertinggi DKI Jakarta Jawa Barat dan Banten mengalami penurunan kasus kesembuhan kata WikuTerakhir untuk perkembangan kasus kematian akibat Covid 19 Jawa Tengah Jawa Timur dan Bali menjadi tiga provinsi yang mencetak lonjakan angka kematian pada pekan ini atau meningkat dari pekan sebelumnya Sedangkan Jawa Barat menjadi satu satunya kota yang berhasil membuat pelandaian jumlah kasus kematian benar benar merosot Saya mengapresiasi Jawa Barat yang mencatat penurunan kasus meninggal yang cukup signifikan Jawa Barat meskipun terdapat perkembangan yang kurang baik pada kasus positif dan kasus sembuh pada kasus meninggal mengalami penurunan signifikan kata Wiku,0,1,0.802,+no_signal_at_all,,,
HIGH (unexplained FP),tr01068,Pemerintah Pulangkan 500 000 WNI dari Luar Negeri Selama Pandemi Corona,Pandemi COVID 19 masih mewabah di sejumlah negara termasuk Indonesia Menteri Luar Negeri Menlu Retno Marsudi mengatakan pemerintah telah memulangkan 180 045 WNI ke Tanah Air Sejak awal pandemi di tahun 2020 kita juga telah mengevakuasi dan memberikan repatriasi kembali ke Indonesia kepada 180 045 WNI kata Retno dalam rapat kerja bersama Komisi I DPR RI di kompleks parlemen Senayan Jakarta Selasa 26 1 2021 Selain itu Retno mengungkapkan pemerintah telah memberikan 500 000 sembako kepada WNI yang terdampak COVID 19 di luar negeri Rinciannya sekitar 451 348 sembako diberikan kepada WNI di Malaysia serta 83 916 sembako diberikan kepada WNI di luar Malaysia Sementara itu lebih dari setengah juta sembako telah kita sampaikan kepada WNI di luar negeri yang terimbas dampak COVID 19 dimana 451 348 kepada WNI di Malaysia sementara yang di luar Malaysia jumlahnya 83 916 ucapnya Retno memastikan isu perlindungan WNI akan terus berjalan di tahun 2021 Bahkan Retno mengatakan Kemlu akan memperkuat sistem perlindungan WNI seperti menganggarkan anggaran penanganan perlindungan WNI serta mempercepat proses pendataan WNI di luar negeri Selain penangan perlindungan di lapangan Kemlu juga akan memperkuat sistem dan pelindungan WNI di seluruh perwakilan antara lain pemberian dukungan anggaran yang memadai mengenai penanganan perlindungan ucapnya Kemudian percepatan pendataan WNI secara serempak dan seragam di 129 perwakilan RI dan KDEI Taipei menggunakan portal Peduli WNI serta pembangunan integrated data operation center atau i DOC di lingkungan Kemlu sambungnya Untuk diketahui hingga hari ini terdapat 2 948 kasus WNI positif virus Corona di luar negeri Rinciannya 2 090 WNI telah sembuh 171WNI meninggal dunia dan 687 WNI masih dalam perawatan Kemlu menyampaikan tambahan WNI yang positif Corona ada di Korea Selatan dan Yordania Sedangkan tambahan WNI yang dinyatakan sembuh ada di Korea Selatan Uni Emirat Arab dan Yordania WNI terkonfirmasi di luar negeri adalah 2 948 2 090 sembuh 171 meninggal dan 687 dalam perawatan tulis Kemlu melalui akun Twitter Kemlu RI pada Selasa 26 1 2021,0,1,0.909,+no_signal_at_all,,,
HIGH (unexplained FP),tr01103,Satgas COVID 19 Kembali Imbau Bepergian Jika Tak Mendesak,Periode libur akhir tahun semakin dekat Pemerintah melalui Satuan Tugas Satgas Penanganan COVID 19 kembali mengingatkan masyarakat untuk menahan diri dalam bepergian jika tidak terlalu mendesak Hal ini dilakukan sebab lonjakan kasus positif COVID 19 selalu terjadi setelah libur panjang Bila terpaksa untuk bepergian masyarakat juga diminta untuk memahami risiko yang dihadapi Juru Bicara Satgas COVID 19 Wiku Adisasmito menjelaskan libur panjang jika tidak dibarengi dengan regulasi yang ketat hanya akan memunculkan banyak kerumunan Hal inilah yang pada akhirnya membuat orang orang abai untuk menjaga jarak dan rendahnya kepatuhan protokol kesehatan Liburan panjang mendatang adalah kali keempat dan seharusnya kita mampu belajar dari pengalaman lalu Apapun yang pemerintah putuskan terkait pelaku perjalanan di libur panjang akhir tahun ini demi keselamatan bersama ujar Wiku dalam keterangan tertulis Jumat 18 12 2020 Peringatan ini tidak dilakukan tanpa alasan mengingat Indonesia sudah mencatat tiga kali lonjakan kasus yang selalu terjadi setelah libur panjang Pertama ketika libur Idul Fitri bulan Mei silam kedua di Tahun Baru Islam pada Agustus dan terakhir libur Maulid Nabi Muhammad SAW pada akhir Oktober Wiku menjelaskan anjloknya kepatuhan masyarakat terhadap protokol kesehatan akan berujung pada peningkatan penularan virus di tengah masyarakat Bila hal ini terjadi maka peningkatan kasus positif COVID 19 yang tidak didukung dengan cukupnya pelayanan kesehatan justru akan menurunkan peluang kesembuhan Sebaliknya angka kematian berpotensi meningkat di level daerah dan berdampak pada tingkat nasional Peningkatan kasus yang signifikan semakin meningkatkan keterisian tempat tidur dan beban kerja di fasilitas kesehatan ungkapnya Namun jika masyarakat memang terpaksa untuk melakukan perjalanan libur akhir tahun Wiku menekankan pentingnya pemahaman mengenai risiko yang dihadapi Menurutnya ada hubungan linear yang jelas antara mobilitas penduduk dengan peningkatan kasus COVID 19 Hal ini sudah terbukti pada tiga periode libur panjang yang sebelumnya terjadi Wiku meminta masyarakat menjalankan tiga hal secara bertanggung jawab jika perjalanan tetap dilakukan yakni patuhi protokol 3M memakai masker menjaga jarak da mencuci tangan memenuhi seluruh syarat perjalanan yang ditetapkan Pemerintah dan mencari tahu kondisi penularan virus Corona serta kecukupan layanan fasilitas kesehatan di daerah tujuan Hindari melakukan perjalanan ke daerah yang kasusnya masih tinggi dan faskesnya terbatas Seperti kita tahu kapasitas tempat tidur isolasi dan ICU COVID 19 pada saat ini masih terbatas terutama di daerah dengan kasus yang masih tinggi Jadikan ini pertimbangan agar tidak sulitkan diri sendiri dan pemda kata Wiku lebih lanjut Masyarakat juga diminta untuk membatalkan perjalanan bila sakit Selain itu perjalanan juga harus dibatalkan bila calon penumpang tergolong suspek atau positif COVID 18 meski tidak memiliki gejala serta jika calon penumpang sempat berada di sekitar seseorang yagn suspek atau positif dalam 14 hari terakhir meski tidak ada gejala dan sedang menunggu hasil tes COVID 19 Kita sudah hadapi pandemi 10 bulan dan saya tahu pandemi ini sangat berat buat kita semua Meski begitu kita harus melatih diri untuk jadi individu yang bertanggung jawab pungkas Wiku,0,1,0.894,+no_signal_at_all,,,
HIGH (unexplained FP),tr01124,Jatim Hari Ini 16 Korban Longsor Ditemukan Tanaman Hias Dibarter Rumah Rp 500 Juta,Sebanyak 16 korban jiwa meninggal dunia ditemukan di hari ke empat usai longsor di Kabupaten Sumedang Selain itu Satgas COVID 19 Jabar mengungkap biang kerok Karawang masuk zona merah selama sebulan Berikut rangkuman Jabar hari ini Menetap di Bandung Selama PSBB Proporsional Wajib Rapid Tes Antigen Isolasi 10 HariPemerintah Kota Bandung mengeluarkan peraturan Wali Kota berkaitan dengan penerapan Pembatasan Sosial Berskala Besar PSBB Proporsional Dalam perwal itu juga disebutkan berkaitan kewajiban pendatang membawa hasil rapid tes antigen bila masuk ke Kota Bandung Aturan tersebut tertuang dalam Pasal 11 Perwal Nomor 1 Tahun 2021 tentang pemberlakuan PSBB Proporsional Perwal itu diteken Wali Kota Bandung Oded M Danial Dalam pasal itu di poin nomor tiga disebutkan setiap orang yang berasal dari luar daerah yang termasuk zona merah dan zona hitam termasuk berasal dari luar negeri berkunjung ke daerah kota menggunakan berbagai moda transportasi diwajibkan membawa rapid tes antigen Menunjukan surat keterangan hasil negatif uji tes rapid antigen tes TV yang berlaku selama tiga hari sejak diterbitkab atau uji tes RT PCR dengan hasil negatif yang berlaku selama tujuh hari sejak diterbitkan tulis isi dalam Perwal tersebut Sementara itu pada poin nomor empat setiap orang yang berasal dari luar daerah dan hendak menetap di Bandung juga diwajibkan membawa hasil rapid tes antigen dengan hasil negatif Selain itu pada poin ini warga yang hendak menetap di Bandung diwajibkan isolasi mandiri Wajib melakukan isolasi mandiri selama 10 hari katanya Sedangkan bagi warga Kota Bandung yang akan melakukan perjalanan ke luar daerah juga wajib menjalankan rapid tes antigen Dalam hal hasil uji rapid tes antigen diperoleh hasil positifCOVID 19 maka harus melakukan uji tes RT PCR Selama waktu tunggu hasil uji tes RT PCR setiap orang wajib menjalani isolasi mandirisampi dengan terbitnya hasil uji tes RT PCR negatif tulisperwal itu,0,1,0.475,+no_signal_at_all,,,
